"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1797","test_password_missing[firefox]","tests.ui","Tue Feb 04 18:30:50 GMT 2025","passed","Tue Feb 04 18:30:51 GMT 2025","","test_login","",""
"","6605","test_link_product[firefox]","tests.ui","Tue Feb 04 18:30:35 GMT 2025","passed","Tue Feb 04 18:30:42 GMT 2025","","test_e2e","",""
"","4880","test_order_and_payment[firefox]","tests.ui","Tue Feb 04 18:30:16 GMT 2025","passed","Tue Feb 04 18:30:21 GMT 2025","","test_e2e","",""
"","2273","test_login_with_locked_user[firefox]","tests.ui","Tue Feb 04 18:30:58 GMT 2025","passed","Tue Feb 04 18:31:00 GMT 2025","","test_login","",""
"","1778","test_username_missing[firefox]","tests.ui","Tue Feb 04 18:30:52 GMT 2025","passed","Tue Feb 04 18:30:53 GMT 2025","","test_login","",""
"","3508","test_login_after_failed_attempt[firefox]","tests.ui","Tue Feb 04 18:31:06 GMT 2025","passed","Tue Feb 04 18:31:09 GMT 2025","","test_login","",""
"","2322","test_successful_login[firefox]","tests.ui","Tue Feb 04 18:30:47 GMT 2025","passed","Tue Feb 04 18:30:49 GMT 2025","","test_login","",""
"","1112","test_logout[firefox]","tests.ui","Tue Feb 04 18:30:28 GMT 2025","passed","Tue Feb 04 18:30:29 GMT 2025","","test_e2e","",""
"","3101","test_refresh_page[firefox]","tests.ui","Tue Feb 04 18:30:55 GMT 2025","passed","Tue Feb 04 18:30:58 GMT 2025","","test_login","",""
"","2341","test_login_with_wrong_password[firefox]","tests.ui","Tue Feb 04 18:31:00 GMT 2025","passed","Tue Feb 04 18:31:03 GMT 2025","","test_login","",""
"","2700","test_reset_app_state[firefox]","tests.ui","Tue Feb 04 18:30:44 GMT 2025","passed","Tue Feb 04 18:30:47 GMT 2025","","test_e2e","",""
"","2363","test_case_sensitivity[firefox]","tests.ui","Tue Feb 04 18:31:03 GMT 2025","passed","Tue Feb 04 18:31:05 GMT 2025","","test_login","",""
"","546","test_sort_by_price[firefox]","tests.ui","Tue Feb 04 18:30:32 GMT 2025","passed","Tue Feb 04 18:30:32 GMT 2025","","test_e2e","",""
"","2202","test_add_to_cart_and_remove[firefox]","tests.ui","Tue Feb 04 18:30:23 GMT 2025","passed","Tue Feb 04 18:30:26 GMT 2025","","test_e2e","",""
"","798","test_access_check[firefox]","tests.ui","Tue Feb 04 18:30:54 GMT 2025","passed","Tue Feb 04 18:30:54 GMT 2025","","test_login","",""
