"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","190","test_register_unsuccessful","tests.api","Tue Feb 04 18:35:19 GMT 2025","passed","Tue Feb 04 18:35:19 GMT 2025","","test_api","",""
"","2333","test_successful_login[firefox]","tests.ui","Tue Feb 04 18:35:55 GMT 2025","passed","Tue Feb 04 18:35:58 GMT 2025","","test_login","",""
"","3207","test_count_users","tests.api","Tue Feb 04 18:35:15 GMT 2025","passed","Tue Feb 04 18:35:19 GMT 2025","","test_api","",""
"","850","test_access_check[firefox]","tests.ui","Tue Feb 04 18:36:02 GMT 2025","passed","Tue Feb 04 18:36:03 GMT 2025","","test_login","",""
"","204","test_login_successful","tests.api","Tue Feb 04 18:35:19 GMT 2025","passed","Tue Feb 04 18:35:19 GMT 2025","","test_api","",""
"","194","test_create_user","tests.api","Tue Feb 04 18:35:19 GMT 2025","passed","Tue Feb 04 18:35:20 GMT 2025","","test_api","",""
"","205","test_delete_user","tests.api","Tue Feb 04 18:35:20 GMT 2025","passed","Tue Feb 04 18:35:20 GMT 2025","","test_api","",""
"","555","test_sort_by_price[firefox]","tests.ui","Tue Feb 04 18:35:40 GMT 2025","passed","Tue Feb 04 18:35:40 GMT 2025","","test_e2e","",""
"","194","test_update_user","tests.api","Tue Feb 04 18:35:20 GMT 2025","passed","Tue Feb 04 18:35:20 GMT 2025","","test_api","",""
"","2745","test_reset_app_state[firefox]","tests.ui","Tue Feb 04 18:35:52 GMT 2025","passed","Tue Feb 04 18:35:55 GMT 2025","","test_e2e","",""
"","3147","test_refresh_page[firefox]","tests.ui","Tue Feb 04 18:36:03 GMT 2025","passed","Tue Feb 04 18:36:06 GMT 2025","","test_login","",""
"","67","test_get_users[3-true red]","tests.api","Tue Feb 04 18:35:19 GMT 2025","passed","Tue Feb 04 18:35:19 GMT 2025","","test_api","",""
"","4898","test_order_and_payment[firefox]","tests.ui","Tue Feb 04 18:35:24 GMT 2025","passed","Tue Feb 04 18:35:29 GMT 2025","","test_e2e","",""
"","54","test_get_user","tests.api","Tue Feb 04 18:35:15 GMT 2025","passed","Tue Feb 04 18:35:15 GMT 2025","","test_api","",""
"","1802","test_username_missing[firefox]","tests.ui","Tue Feb 04 18:36:00 GMT 2025","passed","Tue Feb 04 18:36:02 GMT 2025","","test_login","",""
"","228","test_Single_user_not_found","tests.api","Tue Feb 04 18:35:15 GMT 2025","passed","Tue Feb 04 18:35:15 GMT 2025","","test_api","",""
"","1113","test_logout[firefox]","tests.ui","Tue Feb 04 18:35:36 GMT 2025","passed","Tue Feb 04 18:35:37 GMT 2025","","test_e2e","",""
"","65","test_get_users[1-cerulean]","tests.api","Tue Feb 04 18:35:19 GMT 2025","passed","Tue Feb 04 18:35:19 GMT 2025","","test_api","",""
"","1805","test_password_missing[firefox]","tests.ui","Tue Feb 04 18:35:58 GMT 2025","passed","Tue Feb 04 18:36:00 GMT 2025","","test_login","",""
"","2354","test_login_with_wrong_password[firefox]","tests.ui","Tue Feb 04 18:36:09 GMT 2025","passed","Tue Feb 04 18:36:11 GMT 2025","","test_login","",""
"","2335","test_case_sensitivity[firefox]","tests.ui","Tue Feb 04 18:36:11 GMT 2025","passed","Tue Feb 04 18:36:14 GMT 2025","","test_login","",""
"","6620","test_link_product[firefox]","tests.ui","Tue Feb 04 18:35:43 GMT 2025","passed","Tue Feb 04 18:35:50 GMT 2025","","test_e2e","",""
"","52","test_get_users[5-tigerlily]","tests.api","Tue Feb 04 18:35:19 GMT 2025","passed","Tue Feb 04 18:35:19 GMT 2025","","test_api","",""
"","2351","test_login_with_locked_user[firefox]","tests.ui","Tue Feb 04 18:36:06 GMT 2025","passed","Tue Feb 04 18:36:09 GMT 2025","","test_login","",""
"","53","test_check_all_params","tests.api","Tue Feb 04 18:35:19 GMT 2025","passed","Tue Feb 04 18:35:19 GMT 2025","","test_api","",""
"","2228","test_add_to_cart_and_remove[firefox]","tests.ui","Tue Feb 04 18:35:31 GMT 2025","passed","Tue Feb 04 18:35:34 GMT 2025","","test_e2e","",""
"","3476","test_login_after_failed_attempt[firefox]","tests.ui","Tue Feb 04 18:36:14 GMT 2025","passed","Tue Feb 04 18:36:18 GMT 2025","","test_login","",""
